name,year,quarter,prs_count,issues_count
Ruby,2011,3,632,965.0
PHP,2011,3,484,560.0
Python,2011,3,423,619.0
JavaScript,2011,3,367,694.0
Java,2011,3,216,420.0
C++,2011,3,181,339.0
Ruby,2011,4,3047,4361.0
PHP,2011,4,2261,2841.0
Python,2011,4,2120,3145.0
JavaScript,2011,4,1817,4003.0
Java,2011,4,984,1808.0
C++,2011,4,831,1941.0
C,2011,4,623,1113.0
Shell,2011,4,406,306.0
C#,2011,4,291,729.0
Objective-C,2011,4,236,496.0
Scala,2011,4,200,305.0
Erlang,2011,4,149,111.0
HTML,2011,4,149,255.0
Haskell,2011,4,111,169.0
Ruby,2012,1,37951,7317.0
PHP,2012,1,17274,4858.0
Python,2012,1,15692,6774.0
JavaScript,2012,1,13388,8910.0
Java,2012,1,7817,4429.0
C++,2012,1,4942,3421.0
C,2012,1,2617,1544.0
Groovy,2012,1,1748,
Shell,2012,1,1685,349.0
C#,2012,1,1551,1305.0
Scala,2012,1,1243,446.0
Objective-C,2012,1,955,1111.0
TypeScript,2012,1,653,138.0
Erlang,2012,1,429,199.0
Haskell,2012,1,379,310.0
CoffeeScript,2012,1,368,483.0
HTML,2012,1,343,370.0
Go,2012,1,298,111.0
Lua,2012,1,294,
Perl,2012,1,271,
ColdFusion,2012,1,211,
Emacs Lisp,2012,1,207,170.0
CSS,2012,1,197,265.0
Clojure,2012,1,188,142.0
Objective-J,2012,1,184,
Elixir,2012,1,113,
Web Ontology Language,2012,1,103,
Ruby,2012,2,16616,18591.0
JavaScript,2012,2,15668,26724.0
Python,2012,2,14656,19908.0
PHP,2012,2,14324,12853.0
Java,2012,2,7183,13462.0
C++,2012,2,4423,9933.0
C,2012,2,2977,4163.0
Scala,2012,2,1896,1463.0
C#,2012,2,1833,3095.0
Objective-C,2012,2,1529,3181.0
Shell,2012,2,1327,1430.0
HTML,2012,2,1097,1288.0
Erlang,2012,2,656,586.0
CoffeeScript,2012,2,638,874.0
Perl,2012,2,631,504.0
Haskell,2012,2,555,802.0
CSS,2012,2,531,1011.0
Emacs Lisp,2012,2,526,474.0
Clojure,2012,2,361,404.0
Lua,2012,2,339,290.0
Go,2012,2,313,426.0
Groovy,2012,2,230,362.0
TypeScript,2012,2,191,248.0
Puppet,2012,2,180,
XSLT,2012,2,173,277.0
Objective-J,2012,2,128,202.0
Elixir,2012,2,125,211.0
ColdFusion,2012,2,125,303.0
Vim script,2012,2,112,163.0
nesC,2012,2,109,
JavaScript,2012,3,19104,31557.0
Ruby,2012,3,17444,18847.0
Python,2012,3,17288,21936.0
PHP,2012,3,17240,16507.0
Java,2012,3,8285,14231.0
C++,2012,3,4894,10033.0
C,2012,3,4133,4556.0
Scala,2012,3,2505,1204.0
Shell,2012,3,2062,2176.0
C#,2012,3,1887,3685.0
Objective-C,2012,3,1835,3897.0
HTML,2012,3,1402,2406.0
CoffeeScript,2012,3,945,1582.0
Perl,2012,3,740,414.0
CSS,2012,3,698,1287.0
Erlang,2012,3,644,530.0
Haskell,2012,3,583,888.0
Emacs Lisp,2012,3,556,657.0
Go,2012,3,543,1177.0
Clojure,2012,3,523,585.0
Lua,2012,3,436,497.0
Groovy,2012,3,388,404.0
nesC,2012,3,236,
TypeScript,2012,3,209,265.0
Nix,2012,3,171,
Objective-J,2012,3,143,268.0
Vim script,2012,3,134,173.0
Puppet,2012,3,121,
XSLT,2012,3,120,191.0
VimL,2012,3,118,107.0
Elixir,2012,3,109,155.0
ColdFusion,2012,3,106,188.0
Ruby,2012,4,22135,20850.0
Python,2012,4,21675,29765.0
JavaScript,2012,4,21190,35627.0
PHP,2012,4,17308,19848.0
Java,2012,4,10964,17209.0
C++,2012,4,5861,12373.0
C,2012,4,4833,6160.0
C#,2012,4,2379,4572.0
Objective-C,2012,4,2163,4644.0
Scala,2012,4,2072,1972.0
Shell,2012,4,1922,1968.0
HTML,2012,4,1790,2289.0
Perl,2012,4,1072,535.0
CoffeeScript,2012,4,993,2068.0
CSS,2012,4,904,1887.0
Go,2012,4,858,1384.0
Erlang,2012,4,799,610.0
Haskell,2012,4,704,1559.0
Clojure,2012,4,602,481.0
Lua,2012,4,574,1366.0
Emacs Lisp,2012,4,542,844.0
TypeScript,2012,4,490,411.0
Groovy,2012,4,394,313.0
nesC,2012,4,314,
Puppet,2012,4,222,
Elixir,2012,4,215,319.0
Nix,2012,4,176,
Vim script,2012,4,169,265.0
VimL,2012,4,148,153.0
ColdFusion,2012,4,138,250.0
Delphi,2012,4,127,
Scheme,2012,4,121,
Jupyter Notebook,2012,4,119,
TSQL,2012,4,119,
Common Lisp,2012,4,103,214.0
JavaScript,2013,1,32666,53707.0
Ruby,2013,1,30052,29090.0
Python,2013,1,29487,34261.0
PHP,2013,1,23628,28011.0
Java,2013,1,16919,37298.0
C++,2013,1,7240,17814.0
C,2013,1,6405,11148.0
C#,2013,1,3665,6936.0
Objective-C,2013,1,3572,6455.0
Shell,2013,1,2833,3209.0
HTML,2013,1,2819,4219.0
Scala,2013,1,2804,3664.0
CSS,2013,1,1865,3293.0
CoffeeScript,2013,1,1582,2668.0
Go,2013,1,1341,2056.0
Perl,2013,1,1252,921.0
Erlang,2013,1,961,589.0
Emacs Lisp,2013,1,950,1160.0
TypeScript,2013,1,949,1382.0
nesC,2013,1,828,
Haskell,2013,1,811,1294.0
Clojure,2013,1,643,609.0
Groovy,2013,1,503,731.0
Lua,2013,1,408,1335.0
Nix,2013,1,292,
Puppet,2013,1,288,
Objective-J,2013,1,251,752.0
Vim script,2013,1,222,512.0
Pascal,2013,1,177,100.0
SQF,2013,1,172,284.0
DM,2013,1,168,100.0
Kotlin,2013,1,156,220.0
OCaml,2013,1,139,152.0
VimL,2013,1,138,165.0
Julia,2013,1,136,281.0
XSLT,2013,1,129,452.0
Jupyter Notebook,2013,1,125,430.0
TSQL,2013,1,121,
Smalltalk,2013,1,110,
PowerShell,2013,1,107,123.0
ColdFusion,2013,1,105,289.0
ActionScript,2013,1,103,522.0
Python,2013,2,38044,43459.0
JavaScript,2013,2,37471,62554.0
Ruby,2013,2,33502,31140.0
PHP,2013,2,25522,31912.0
Java,2013,2,17650,32265.0
C++,2013,2,9943,16214.0
C,2013,2,6657,10058.0
C#,2013,2,4497,8437.0
Objective-C,2013,2,4175,6368.0
HTML,2013,2,3897,4047.0
Shell,2013,2,2776,2879.0
Scala,2013,2,2757,2852.0
Perl,2013,2,2434,1209.0
Go,2013,2,2318,3131.0
CSS,2013,2,2289,4465.0
TypeScript,2013,2,1752,1148.0
CoffeeScript,2013,2,1635,2826.0
Erlang,2013,2,1090,663.0
Emacs Lisp,2013,2,995,1205.0
nesC,2013,2,863,
DM,2013,2,844,569.0
Lua,2013,2,800,1634.0
Haskell,2013,2,765,1209.0
Clojure,2013,2,640,567.0
Groovy,2013,2,538,573.0
Nix,2013,2,497,
Elixir,2013,2,467,522.0
Puppet,2013,2,433,353.0
OCaml,2013,2,340,257.0
Common Lisp,2013,2,332,256.0
Vim script,2013,2,300,612.0
Kotlin,2013,2,202,361.0
Dart,2013,2,185,272.0
TSQL,2013,2,175,
Smalltalk,2013,2,174,
Jupyter Notebook,2013,2,167,266.0
XSLT,2013,2,151,330.0
VimL,2013,2,150,201.0
Julia,2013,2,140,302.0
Vala,2013,2,139,335.0
Scheme,2013,2,129,
Haxe,2013,2,123,335.0
PowerShell,2013,2,120,116.0
Swift,2013,2,118,197.0
ColdFusion,2013,2,117,189.0
Raku,2013,2,113,
Rust,2013,2,112,
Pascal,2013,2,106,
Objective-J,2013,2,105,223.0
JavaScript,2013,3,46079,79518.0
Python,2013,3,44783,45367.0
Ruby,2013,3,37050,33098.0
PHP,2013,3,28573,32796.0
Java,2013,3,22139,35624.0
C++,2013,3,11878,16577.0
C,2013,3,8062,11127.0
C#,2013,3,5074,9499.0
Objective-C,2013,3,5025,8331.0
HTML,2013,3,4455,5838.0
CSS,2013,3,4448,6582.0
Scala,2013,3,3902,3785.0
Shell,2013,3,3769,3540.0
Go,2013,3,3584,4089.0
TypeScript,2013,3,2179,2013.0
CoffeeScript,2013,3,2004,3412.0
Perl,2013,3,1969,1422.0
Emacs Lisp,2013,3,1425,1444.0
Erlang,2013,3,1117,706.0
Lua,2013,3,1004,2041.0
DM,2013,3,922,447.0
Puppet,2013,3,916,589.0
Haskell,2013,3,882,1500.0
Groovy,2013,3,815,859.0
Clojure,2013,3,720,665.0
Nix,2013,3,600,
Elixir,2013,3,540,586.0
OCaml,2013,3,447,313.0
VimL,2013,3,414,647.0
Kotlin,2013,3,393,573.0
